iter: 1, i: 512, lambda: 0
iter: 1, i: 512, lambda: 0
iter: 1, i: 512, lambda: 0.05
iter: 1, i: 512, lambda: 0.5
iter: 1, i: 512, lambda: 1
iter: 1, i: 512, lambda: 2
iter: 2, i: 512, lambda: 0
iter: 2, i: 512, lambda: 0.05
iter: 2, i: 512, lambda: 0.5
iter: 2, i: 512, lambda: 1
iter: 2, i: 512, lambda: 2
iter: 3, i: 512, lambda: 0
iter: 3, i: 512, lambda: 0.05
iter: 3, i: 512, lambda: 0.5
iter: 3, i: 512, lambda: 1
iter: 3, i: 512, lambda: 2
iter: 4, i: 512, lambda: 0
iter: 4, i: 512, lambda: 0.05
iter: 4, i: 512, lambda: 0.5
iter: 4, i: 512, lambda: 1
iter: 1, i: 512, lambda: 0.05
iter: 1, i: 512, lambda: 0.5
iter: 1, i: 512, lambda: 1
iter: 1, i: 512, lambda: 2
iter: 2, i: 512, lambda: 0.05
iter: 2, i: 512, lambda: 0.5
iter: 2, i: 512, lambda: 1
iter: 2, i: 512, lambda: 2
iter: 3, i: 512, lambda: 0.05
iter: 3, i: 512, lambda: 0.5
iter: 3, i: 512, lambda: 1
iter: 3, i: 512, lambda: 2
iter: 4, i: 512, lambda: 0.05
iter: 4, i: 512, lambda: 0.5
iter: 4, i: 512, lambda: 1
iter: 4, i: 512, lambda: 2
iter: 5, i: 512, lambda: 0.05
iter: 5, i: 512, lambda: 0.5
iter: 5, i: 512, lambda: 1
iter: 5, i: 512, lambda: 2
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_2 percent
iter: 1, byte 256 ,lambda: , use_3 percent
iter: 1, byte 256 ,lambda: , use_5 percent
iter: 1, byte 256 ,lambda: , use_7 percent
iter: 1, byte 256 ,lambda: , use_10 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_2 percent
iter: 1, byte 256 ,lambda: , use_3 percent
iter: 1, byte 256 ,lambda: , use_5 percent
iter: 1, byte 256 ,lambda: , use_7 percent
iter: 1, byte 256 ,lambda: , use_10 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_2 percent
iter: 1, byte 256 ,lambda: , use_3 percent
iter: 1, byte 256 ,lambda: , use_5 percent
iter: 1, byte 256 ,lambda: , use_7 percent
iter: 1, byte 256 ,lambda: , use_10 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_2 percent
iter: 1, byte 256 ,lambda: , use_3 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_2 percent
iter: 1, byte 256 ,lambda: , use_3 percent
iter: 1, byte 256 ,lambda: , use_5 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_0 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: , use_0.1 percent
iter: 1, byte 256 ,lambda: , use_0.5 percent
iter: 1, byte 256 ,lambda: , use_1 percent
iter: 1, byte 256 ,lambda: , use_0.05 percent
iter: 1, byte 256 ,lambda: 0.05, use_0 percent
iter: 1, byte 256 ,lambda: 0.05, use_0.05 percent
iter: 1, byte 256 ,lambda: 0.05, use_0.1 percent
iter: 1, byte 256 ,lambda: 0.05, use_0.5 percent
iter: 1, byte 256 ,lambda: 0.05, use_1 percent
iter: 1, byte 256 ,lambda: 1, use_0 percent
iter: 1, byte 256 ,lambda: 1, use_0.05 percent
iter: 1, byte 256 ,lambda: 1, use_0.1 percent
iter: 1, byte 256 ,lambda: 1, use_0.5 percent
iter: 1, byte 256 ,lambda: 1, use_1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.05 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.5 percent
iter: 1, byte 512 ,lambda: 0.05, use_1 percent
iter: 1, byte 512 ,lambda: 1, use_0 percent
iter: 1, byte 512 ,lambda: 1, use_0.05 percent
iter: 1, byte 512 ,lambda: 1, use_0.1 percent
iter: 1, byte 512 ,lambda: 1, use_0.5 percent
iter: 1, byte 512 ,lambda: 1, use_1 percent
iter: 1, byte 512 ,lambda: 0.05, use_1 percent
iter: 1, byte 512 ,lambda: 1, use_1 percent
iter: 1, byte 512 ,lambda: 0.05, use_1 percent
iter: 1, byte 512 ,lambda: 1, use_1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.05 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.5 percent
iter: 1, byte 512 ,lambda: 0.05, use_1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.05 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.5 percent
iter: 1, byte 512 ,lambda: 0.05, use_1 percent
iter: 1, i: 512, lambda: 0.05
iter: 2, i: 512, lambda: 0.05
iter: 3, i: 512, lambda: 0.05
iter: 4, i: 512, lambda: 0.05
iter: 5, i: 512, lambda: 0.05
iter: 1, i: 512, lambda: 0.05
iter: 2, i: 512, lambda: 0.05
iter: 1, byte 512 ,lambda: 0.05, use_0.1 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.5 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.5 percent
iter: 1, byte 512 ,lambda: 0.05, use_0.5 percent
